beskrivelse,materiale,sål
En god klassisk Skecher sandal med justerbar velcrorem henover vristen. Sandalens dæksål er en pu-sål med ekstra god padding som giver god komfort. Det gør den samtidig anvendelig i vand. Ydersålen er en blød og fleksibel gummisål.,Tekstil,Gummi
"Smart damesandal fra Gabor i lysebrunt ruskind. Sandalen har åben tå og åben hælkappe, lige til at stikke i. På de to remme, der krydser hinanden er der påsat små, blanke similisten. Indvendig er den foret med skind og med en blød dæksål. Den har endvidere en flettet tovkant rundt langs sålen samt en hvid, skridhæmmende microsål.",Ruskind,Gummi
Meget elegant skind sandal i nude/beige ruskind. Sandalen har en 55 mm høj hæl og en flexibel sål. Indvendig er den foret med microfiber og har en lille elastik på indersiden.Ydersål i PU.,Skind,Syntet
Smart skind sandal med kraftig sål hvid/sølv kombination. Sandalen har en hæl højde på 50 mm. Indvendig er den foret med skind samt microfiber og har den bløde Feel Me dæksål. Ydersål i PU.,Skind/syntet,PU
"Smart flad sandal, med remme og ankelrem lukning, samt blød gummisål og foamet indersål. Super flot farve. Materialet er nubuck.",Skind,Gummi
"Smart flad sandal, med krydsremme og ankelrem lukning, samt blød gummisål og foamet indersål",Skind,Gummi
"Flot og anvendelig damesandal fra Gabor i blødt skind. Sandalen har et flot materiale- og farvemix med bl.a. similisten. Den har åben tå og er lige til at stikke i. Indvendig er den foret med skind og med en flettet kant rundt langs sålekanten. Sidst men ikke mindst har sandalen en hvid, skridhæmmende microsål.",Skind,PU
"Pæn flad sandal, med remme og spænde på ankelreml, samt komfort & blød gummisål",Skind,Gummi
Let og feminin damesandal i imm. ruskind. Overdelen har fint svungne remme samt en enkel hælrem påsat et lille metalspænde. Den har en let sølvkant som løber langs den fleksible ydersål. Hælen er en god blokhæl.,Tekstil,PU
Fin og feminin damesandal på god blokhæl. Remmene er flettet i sølv og guld med en let hælrem påsat lille metalspænde.,Tekstil,PU
"Fin og feminin damesandal fra Marco Tozzi i et meget smukt materiale- og farvemix. Sandalen har en elastikrem rundt om hælen, så den sidder godt og stabilt på foden. Den har desuden adskillige fine remme på kryds og tværs ovenpå foden. Flotte detaljer. Remmene er foret med tekstil og dæksålen er tekstil og PU. Let ydersål i PU. Modellen findes også i en rosa udgave.",Syntet,PU
"Smart og klassisk remsandal i rosafarvet skind med metal-effekt. Sandalen har en justerbar krydset ankelrem med et metalspænde. I front har den to remme, så den sidder godt på foden. Ydersål i gummi.",Skind,Gummi
"Komfortabel B&CO bio-sandal- Sandalen har to justerbare remme over foden. Herpå store metalspænder. Den har en blød og stødabsorberende latex skum sål med memory funktion, der giver luftcirkulation, og sørger for antifugt og bakteriel beskyttelse skridt for skridt. Endvidere har den en skridhæmmende PU-ydersål. Modellen findes i mange flotte farver.",Skind,PU
"Smart og moderigtig damesandal fra Marco Tozzi i lavendelfarvet ruskind. Sandalen har brede, krydsede remme over forbladet samt en tynd justerbar rem omkring anklen. Endvidere en flot plateau kilehæl med en behagelig hæjhøjde. Modellen findes i flere flotte farver.",Ruskind,Syntet
Sød og feminin damesandal fra Tamaris i lyseblåt skind med metal-effekt. Sandalen har en ankelrem og flere remme over og på tværs af foden. Remmene er foret med skind og sandalen har en blød skind-dæksål. Let ydersål i PU. Modellen findes også i sølvgrå.,Skind,Syntet
"Komfortabel B&CO bio-sandal- Sandalen har to justerbare remme over foden. Herpå store metalspænder. Den har en blød og stødabsorberende latex skum sål med memory funktion, der giver luftcirkulation, og sørger for antifugt og bakteriel beskyttelse skridt for skridt. Endvidere har den en skridhæmmende PU-ydersål. Modellen findes i mange flotte farver.",Skind,PU
"Komfortabel B&CO bio-sandal- Sandalen har to justerbare remme over foden. Herpå store metalspænder. Den har en blød og stødabsorberende latex skum sål med memory funktion, der giver luftcirkulation, og sørger for antifugt og bakteriel beskyttelse skridt for skridt. Endvidere har den en skridhæmmende PU-ydersål. Modellen findes i mange flotte farver.",Skind,PU
Sød og feminin damesandal fra Tamaris i sølvgråt skind beklædt med similisten. Sandalen har en ankelrem og flere remme over og på tværs af foden. Remmene er foret med skind og sandalen har en blød skind-dæksål. Let ydersål i PU. Modellen findes også i blå metallic.,Skind,Syntet
Lækker og fin badesandal fra Tommy Hilfiger. Den har et fint bånd med tåstrop henover fronten.,Tekstil,PU
"Anvendelig og komfortabel damesandal fra Ara i sort nubuck skind med små sølvprikker. Sandalen har åben tå og åben hælkappe, lige til at stikke i. Den har to regulerbare velcroremme henover foden. Herpå flotte metal ringe. Indvendig er den foret med skind og med en blød skind-dæksål. Let kilehæl samt ydersål i gummi. Modellen findes også i rød.",Skind,Gummi
Meget enkel og elegant slipper i rosa metallic kunstlæder. Sandalen har en hæl højde på 10 mm. Ydersål i PU.,Syntet,Syntet
"Klassisk trekking sandal fra ECCO i blødt og lækkert nubuck skind. Sandalen har tre justerbare velcroremme, som sikrer en stabil og behagelig pasform. I åbningen og omkring remmene er der påsyet et sort tekstilbånd. Dette giver dels stor komfort dels en flot finish. Letvægtsstøbt EVA fodseng med blødt mikrofiber-dæksåll til højeste dæmpning og overlegen stabilitet. Indvendig foret med blødt tekstil og med en slidstærk gummi ydersål til fremragende greb på varieret terræn",Nubuck,PU
Rummelig sandal på luftsoft dæksål på god skridhæmmende gummisål gode velcro remme der sikrer gode justeringsmuligheder,Skind,PU
"Meget blød og lækker sandal fra CAPRICE - produceret med en komfortsål, hvor der er god plads til tæerne. Modellen er lavet i suede i en beige-grå farve, som passer ind i alle farver. Du går på en meget blød microfiber dæksål. Ydersålen er en fleksibel gummisål, som følger foden gang. Sandalen har et fint smykke på fronten, så sandalen er også god til en bytur eller fest.",Skind,PU
Tommy Hilfiger er kendt for sine enkle og fine badesandaler. Her med en sølv farvet tårem hvorpå der er broderet Hilfiger logo.,Tekstil,PU
Meget elegant skind sandal/slipper i sølv kombination. Sandalen har en hæl højde på 25 mm. Ydersål i PU.,Skind,PU
Slip in Sandal på god blokhæl metal effekt på hælen. Hælhøjde 75 mm.,Tekstil,PU
"Anvendelig og komfortabel damesandal fra Ara i rødt nubuck skind med små sølvprikker. Sandalen har åben tå og åben hælkappe, lige til at stikke i. Den har to regulerbare velcroremme henover foden. Herpå flotte metal ringe. Indvendig er den foret med skind og med en blød skind-dæksål. Let kilehæl samt ydersål i gummi. Modellen findes også i sort.",Skind,Gummi
"Smart og klassisk remsandal i lysebrunt skind. Sandalen har en justerbar krydset ankelrem med et metalspænde. I front har den flere krydsede remme, så den sidder godt på foden. Ydersål i gummi.",Skind,Gummi
Enkel og smart badesandal fra Tommy Hilfiger med bred rem henover forfoden.,Tekstil,PU
